Name,Category,Top Pick,Badge,My Take,Tags
Fixins,Lunch,FALSE,,Southern comfort food that doesn't cut corners. Perfect lunch stop.,"Southern, Comfort"
Central,Lunch,FALSE,,"The midday anchor downtown. Solid menu, good room.","Downtown, Reliable"
Supinos,Lunch,FALSE,Best Pizza,"Eastern Market pizza that earns every compliment it gets. Thin crust, serious sauce.","Pizza, Eastern Market"
Yum Village,Lunch,FALSE,,Afro-Caribbean spot that deserves more attention than it gets. Flavorful and filling.,"Caribbean, Flavorful"
Little Burger,Lunch,FALSE,,"Small spot, big burger. Exactly what it says.","Burger, Simple"
Babo,Lunch,FALSE,,Korean-inspired and executed well. Good for when you want something interesting.,"Korean, Interesting"
Bai Mai Thai,Lunch,FALSE,Best Fried Rice,The fried rice here is worth the trip alone. Everything else is also excellent.,"Thai, Must-Order"
Mudgies,Lunch,FALSE,,Corktown deli legend. The sandwich situation here is unmatched.,"Deli, Corktown, Sandwiches"
Grandma Bob's,Lunch,FALSE,,Comfort food cooked with actual care. The name tracks.,"Comfort, Homestyle"
Detroit 75 Kitchen,Lunch,FALSE,,Eastern Market truck turned institution. The broth bowls are the move.,"Bowls, Eastern Market"
Amar Pizza,Lunch,FALSE,,Pizza from an unexpected angle. Worth the detour.,"Pizza, Unique"
Boostan Cafe,Lunch,FALSE,,Middle Eastern flavors done fresh and properly. An underrated gem.,"Middle Eastern, Fresh"
Bucharest Grill,Lunch,FALSE,,Shawarma that has a cult following for good reason. Late night too.,"Shawarma, Late Night"
La Palma,Lunch,FALSE,,Mexican staple in the right neighborhood. Reliable and satisfying.,"Mexican, Neighborhood"
Frida,Lunch,FALSE,,Upscale Mexican that delivers on the elevated promise.,"Mexican, Elevated"
Shell Shock'd,Lunch,FALSE,,"Seafood boil energy. Great for a group, great for a solo mission.","Seafood, Boil"
J&T Kitchen,Lunch,FALSE,,Neighborhood spot with real flavor. The kind of place you want near your house.,"Neighborhood, Comfort"
La Lanterna,Lunch,FALSE,,Italian lunch in a setting that makes it feel like more than just lunch.,"Italian, Cozy"
Southern Fire,Lunch,FALSE,,"Hot chicken with real heat and real flavor. No novelty, all substance.","Hot Chicken, Southern"
Fork in Nigeria,Lunch,FALSE,,Nigerian cuisine that's both accessible and authentic. A welcome addition to the scene.,"Nigerian, African, Authentic"
Fishbone's,Lunch,FALSE,,"A Detroit original. Creole-influenced, festive, and an institution.","Creole, Institution"
Vicente's,Lunch,FALSE,,Cuban-inspired spot that fills a gap in the Detroit lunch scene. Worth knowing.,"Cuban, Unique"
Leila,Dinner,TRUE,Top Pick,The best dinner in Detroit right now. Middle Eastern-inspired and completely dialed in. Reserve ahead.,"Middle Eastern, Must Reserve"
Takoi,Dinner,TRUE,Top Pick,Southeast Asian flavors in a room that's genuinely beautiful. One of Detroit's best.,"Southeast Asian, Beautiful Room"
Vecinos,Dinner,TRUE,Top Pick,Mexican fine dining that proves the format belongs here. Thoughtful and precise.,"Mexican, Fine Dining"
Marrow on the Market,Dinner,TRUE,Top Pick,Farm-to-table with a butcher program behind it. The quality shows on the plate.,"Farm-to-Table, Eastern Market"
Grey Ghost,Dinner,FALSE,,Midtown anchor. Serious American food with a room that earns the price.,"American, Midtown, Upscale"
Mad Nice,Dinner,FALSE,,Italian American done with precision. The kind of place you go on a real occasion.,"Italian, Occasion"
Barda,Dinner,FALSE,,"Spanish-inspired small plates. Order everything, regret nothing.","Spanish, Small Plates"
San Morello,Dinner,FALSE,,Southern Italian in the Shinola Hotel. Pasta is mandatory. The room is stunning.,"Italian, Shinola Hotel, Pasta"
Selden Standard,Dinner,FALSE,,Midtown institution. Farm-to-table that stays relevant year after year.,"Farm-to-Table, Midtown, Reliable"
Medusa,Dinner,FALSE,,"Greek-inspired, ambitious, and landing. A newer entry making its case.","Greek, Ambitious"
Cibo,Dinner,FALSE,,Neighborhood Italian that punches above its weight. The pasta program is serious.,"Italian, Neighborhood, Pasta"
Sunda,Dinner,FALSE,,Pan-Asian done with scale and confidence. Good for groups with range.,"Asian, Groups"
Alpino,Dinner,FALSE,,"Alpine European — fondue, raclette, and a room that feels like an occasion.","European, Seasonal, Occasion"
Ottava Via,Dinner,FALSE,,Old-school Italian on the east side. The chicken vesuvio alone justifies the trip.,"Italian, East Side, Classic"
Puma,Dinner,FALSE,,Creative American in Corktown. The chef is doing something interesting here.,"American, Corktown, Creative"
Bakersfield,Dinner,FALSE,,Tacos and bourbon. The combination that works every single time.,"Tacos, Bourbon, Casual"
Sexy Steak,Dinner,FALSE,,The name isn't lying. Steak that delivers on the promise.,"Steakhouse, Elevated"
Prime + Proper,Dinner,FALSE,,"Detroit's proper steakhouse. Old-school format, very much intentional.","Steakhouse, Classic, Downtown"
Townhouse,Dinner,FALSE,,Birmingham's elevated casual. The rooftop makes it in summer.,"American, Birmingham, Rooftop"
Parc,Dinner,FALSE,,Campus Martius location means the patio is the draw in season. Food backs it up.,"American, Patio, Campus Martius"
Besa,Dinner,FALSE,,Mediterranean that does the format right. The mezze spread is the move.,"Mediterranean, Mezze"
Midnight Temple,Dinner,FALSE,,Late night elevated dining. The kind of spot that feels like a secret.,"Late Night, Elevated"
El Barzon,Dinner,FALSE,,Mexican and Italian under one roof — and it works. A southwest Detroit legend.,"Mexican, Italian, Southwest"
Evening Bar,Bar,TRUE,Top Pick,"The vibe is the product here. Low lights, good drinks, right crowd.","Vibe, Cocktails, Low Key"
Candy Bar,Bar,TRUE,Top Pick,"Fun, themed, and executed well. Great for a group that wants the experience.","Themed, Groups, Fun"
Father Forgive Me,Bar,TRUE,Top Pick,Corktown spot with good drinks and the right amount of personality.,"Corktown, Cocktails"
Pine Hall,Bar,TRUE,Top Pick,"Bar by night, but the cookies here are famous for a reason. Worth knowing about both.","Cocktails, Cookies, Dual-Use"
Kampers,Bar,TRUE,Top Pick,Neighborhood bar that does the simple things right. Reliable and unpretentious.,"Neighborhood, Reliable"
Bar Chenin,Bar,FALSE,Best Wine Bar,Natural wine list that could hold its own in any major city. The sleeper hit of Detroit's bar scene.,"Wine, Natural Wine"
Monarch Club,Bar,FALSE,,Old-school supper club energy in a new Detroit package. Feels like an occasion.,"Supper Club, Classic, Occasion"
Sugar House,Bar,FALSE,Best Cocktails,The cocktail bar that built Detroit's modern bar scene. Still the best.,"Cocktails, Classic, Pioneer"
Bad Luck Bar,Bar,FALSE,,Dive bar energy without being a dive. The balance is hard to hit and they hit it.,"Neighborhood, Casual"
The Vinyl Society,Bar,FALSE,,"Records, drinks, and a crowd that knows both. A singular Detroit spot.","Music, Records, Unique"
Saksey's,Bar,FALSE,,"Dive bar that earns the title without irony. Cold beer, good people.","Dive, Casual, Authentic"
Keisling,Bar,FALSE,,Newer addition with a German-inspired program. The beer list is taken seriously.,"Beer, German"
Vesper Book Bar,Bar,FALSE,,Books and cocktails. The concept sounds forced until you experience it.,"Books, Cocktails, Unique"
Shinola Hotel Living Room,Hotel Lobbies,TRUE,Top Pick,"The gold standard of Detroit hotel lobbies. Beautiful design, always active, open to anyone.","Design, Active, Open"
The Daxton,Hotel Lobbies,TRUE,Top Pick,Birmingham's boutique anchor. A lobby worth sitting in for more than just a drink.,"Birmingham, Boutique"
Book Tower,Hotel Lobbies,TRUE,Top Pick,Historic Detroit architecture restored properly. The atrium alone is worth the visit.,"Historic, Architecture, Atrium"
AC Bonstelle,Hotel Lobbies,TRUE,Top Pick,Newer boutique in a historic theater building. The backstory makes the lobby feel bigger.,"Theater, Boutique, Historic"
Detroit Foundation Hotel,Hotel Lobbies,TRUE,Top Pick,Former fire department HQ. The lobby respects the building's past while being completely current.,"Historic, Converted"
The Godfrey,Hotel Lobbies,FALSE,,"The rooftop pool deck is the headline, but the lobby earns its place too.","Rooftop, Pool, Scene"
The Siren Hotel,Hotel Lobbies,FALSE,,Midtown boutique with character. The interior is a genuine conversation.,"Midtown, Character, Boutique"
David Whitney,Hotel Lobbies,FALSE,,Beaux-Arts grandeur in the middle of downtown. One of the most impressive lobbies in the city.,"Historic, Grand, Downtown"
Cambria,Hotel Lobbies,FALSE,,"Clean, modern, central. Good baseline for downtown.","Modern, Downtown"
JW Marriott,Hotel Lobbies,FALSE,Coming Soon,Detroit's most anticipated hotel opening. Watch this space.,"Coming Soon, Anticipated"
Paddle + Par,Golf,TRUE,Top Pick,Pickleball meets golf in a concept that works better than it sounds. Great for a social round.,"Social, Indoor, Concept"
Oakland Hills,Golf,TRUE,Top Pick,Major championship venue. One of the most significant courses in American golf history.,"Major Venue, Historic, Prestigious"
Warren Valley,Golf,TRUE,Top Pick,Public gem. Underrated layout that rewards a proper game.,"Public, Underrated, Accessible"
TPC Michigan,Golf,TRUE,Top Pick,Tour-caliber conditions. A proper test of a proper game.,"Tour Quality, Challenging, Prestige"
Rackham,Golf,TRUE,Top Pick,"Public Rackham is an underrated value. Nine holes, easy access, good layout.","Public, 9-Hole, Value"
5Iron,Golf,FALSE,,Indoor golf simulator done right. Downtown location makes it easy to drop in.,"Indoor, Simulator, Downtown"
DAC,Golf,FALSE,,Detroit Athletic Club — historic and exclusive. Earn your invite.,"Private, Historic, Exclusive"
DGC,Golf,FALSE,Best Private,"Detroit Golf Club. Donald Ross courses, serious pedigree. Bucket list if you can get a guest pass.","Private, Donald Ross, Pedigree"
Evergreen,Golf,FALSE,,"Southeast Detroit public course with history. Good value, real conditions.","Public, History, Value"
Belle Isle Range,Golf,FALSE,,Hitting balls on Belle Isle with the river as your backdrop. Nowhere else does this.,"Range, Scenic, Unique"
Royal Oak Golf Center,Golf,FALSE,,Suburban range with good infrastructure. Reliable warm-up destination.,"Range, Suburban, Reliable"
Cardinal at Saint John,Golf,FALSE,,Hidden gem in a seminary setting. The backstory makes the round.,"Hidden Gem, Unique Setting"
Shepherd's Hollow,Golf,FALSE,,North of the city but worth every mile. One of the best public courses in Michigan.,"Public, Worth the Drive, Top Course"
Chandler Park,Golf,FALSE,,"East side public course. Affordable, accessible, and part of the neighborhood fabric.","Public, East Side, Affordable"
Rouge Park,Golf,FALSE,,"West side public course. Affordable, accessible, important to the community.","Public, West Side, Community"
Big Pink,Parties,TRUE,Top Pick,The kind of party where the energy is self-generating. Detroit nightlife at its most Detroit.,"High Energy, Scene, Detroit"
The Belt & Delux Flux,Parties,TRUE,Top Pick,Alley venue that transforms. Art + nightlife combination that Detroit does uniquely well.,"Art, Alley, Unique"
Love & Tequila,Parties,TRUE,Top Pick,The name is the vibe. Latin-leaning energy in a room built for it.,"Latin, Dancing, Lively"
Spotlite,Parties,FALSE,,"Detroit's actual club. Good DJs, crowd that moves, vibe that can't be manufactured. Get there late.","Club, DJs, Late Night"
Northern Lights,Parties,FALSE,,Lounge format with serious DJ programming. More grown than the club circuit.,"Lounge, DJs, Mature"
Bloom,Parties,FALSE,,Intimate and intentional. The crowd knows why they're there.,"Intimate, Intentional"
Paramita,Parties,FALSE,,Underground energy above ground. The bookings are consistently interesting.,"Underground, Bookings, Music"
TV Lounge,Parties,FALSE,,"A Detroit original. Long-running, no-gimmick nightlife that keeps being relevant.","Classic, Longstanding"
Pocket Change,Parties,FALSE,,Newer entry with a strong early reputation. Watch this one.,"Newer, Emerging"
Mad Nice Goods,Cafes,TRUE,Top Pick,"The retail extension of Mad Nice. Coffee, goods, and the same aesthetic that makes the restaurant work.","Coffee, Goods, Aesthetic"
La Veneta,Cafes,TRUE,Top Pick,Italian coffee culture imported and executed right. The espresso here is not a joke.,"Italian, Espresso, Serious"
Cafe Sous Terre,Cafes,TRUE,Top Pick,Underground (literally) cafe with serious European coffee sensibility.,"Underground, European, Unique"
Dose,Cafes,FALSE,,Specialty coffee done with intention. One of the better single-cup experiences in the city.,"Specialty, Single Cup, Quiet"
Sml Wrlds,Cafes,FALSE,,"Small world, big coffee. Intimate and exactly right.","Intimate, Specialty"
Lucky,Cafes,FALSE,,Midtown cafe with consistent quality and a good room to work in.,"Work-Friendly, Midtown, Reliable"
Madcap,Cafes,FALSE,,Grand Rapids import that translates well to Detroit. Specialty program that's consistent.,"Specialty, Consistent"
Cred Cafe,Cafes,FALSE,,Community-oriented cafe that earns the neighborhood's trust and yours.,"Community, Neighborhood"
Alba,Cafes,FALSE,,"Bright, well-designed, and a serious coffee list. Good morning option.","Design, Morning, Bright"
Saturn Coffee,Cafes,FALSE,,The coffee shop that doubles as a community anchor. East side institution.,"Community, East Side, Institution"
Belle Isle,Attractions,TRUE,Must-Do,An island state park in the middle of the Detroit River. Sunrise here is the best free thing in Detroit.,"Free, Nature, Iconic"
Eastern Market,Attractions,TRUE,Must-Do,Saturday mornings only. The whole city shows up. Get there before 10.,"Saturday, Market, Community"
Michigan Central Train Station,Attractions,TRUE,Must-Do,Restored Beaux-Arts landmark. One of the most dramatic architectural resurrections in American history.,"Architecture, Ford, Historic, Landmark"
DIA — Detroit Institute of Arts,Attractions,FALSE,,Top-five art museum in the country. The Rivera Court murals alone justify the visit. Free for Wayne County residents.,"Art, Free (Residents), World-Class"
MOCAD,Attractions,FALSE,,Contemporary art in Midtown. The programming is consistently worth checking.,"Contemporary Art, Midtown"
Library Street Collective,Attractions,FALSE,,Gallery that has helped define Detroit's contemporary art identity.,"Gallery, Murals, Contemporary"
Little Village,Attractions,FALSE,,"Mexicantown's commercial heart. The food, bakeries, and energy are the real Detroit.","Mexicantown, Authentic, Food"
Riverfront & RiverWalk,Attractions,FALSE,,Miles of waterfront that most people under-use. The best urban walk in Detroit.,"Waterfront, Walk, Free"
Campus Martius,Attractions,FALSE,,"Downtown's living room. Ice skating in winter, concerts in summer, always active.","Downtown, Seasonal, Active"
Guardian Building,Attractions,FALSE,,Art Deco masterpiece. Walk into the lobby and look up. Do it every time.,"Art Deco, Architecture, Lobby"
Motown Museum,Attractions,FALSE,,Hitsville USA. The origin of an entire chapter of American music history.,"Music, History, Iconic"
Detroit Historical Museum,Attractions,FALSE,,"The city's own story, told well. Streets of Old Detroit is worth the visit alone.","History, Museum"
Charles H. Wright Museum,Attractions,FALSE,,African American history museum that punches well above its weight nationally.,"History, African American, World-Class"
Michigan Science Center,Attractions,FALSE,,Great for bringing people in from out of town. The planetarium still hits.,"Family, Science, Planetarium"
Detroit Lions at Ford Field,Attractions,FALSE,,Ford Field is one of the best indoor stadiums in the NFL. The atmosphere has come alive.,"NFL, Ford Field, Electric"
Detroit Tigers at Comerica Park,Attractions,FALSE,,Summer evening baseball with the Detroit skyline as your backdrop. Easy to get cheap seats.,"MLB, Summer, Skyline"
Detroit Red Wings at LCA,Attractions,FALSE,,Little Caesars Arena is a genuinely great hockey venue.,"NHL, Hockey, LCA"
Detroit Pistons at LCA,Attractions,FALSE,,The Pistons era is loading. Get in early while the tickets are still reasonable.,"NBA, LCA, Early Adopter"
Gilly's,Sports Bars,TRUE,Top Pick,"Classic Detroit sports bar. Unpretentious, always on, comfortable.","Classic, Comfortable"
Parlay,Sports Bars,TRUE,Top Pick,Sports betting energy meets good screens. The format works for the moment.,"Betting, Screens, Modern"
Collect Beer Bar,Sports Bars,TRUE,Top Pick,Craft beer list that's actually curated. The games are secondary but still there.,"Craft Beer, Curated"
Sidecar Slider Bar,Sports Bars,TRUE,Top Pick,Sliders and sports. The sliders are better than you'd expect and the format is efficient.,"Sliders, Casual"
MGM Grand Sports Bar,Sports Bars,FALSE,,"When scale matters. Screens everywhere, everything covered. Good for big playoff moments.","Scale, Big Games, Casino"
Checker Bar,Sports Bars,FALSE,,Downtown Detroit original. The dart setup and the jukebox are part of the deal.,"Downtown, Original, Darts"
Lockerroom,Sports Bars,FALSE,,The neighborhood sports bar format done without overthinking it.,"Neighborhood, Reliable"
24 Seconds Bar & Grill,Sports Bars,FALSE,,Named after the shot clock. Basketball is the vibe but all sports are welcome.,"Basketball, Vibe"
Bucharest Grill,Sports Bars,FALSE,,Shawarma bar that has screens. The food is why you're here.,"Shawarma, Food-Forward"
Roar Brewery,Sports Bars,FALSE,,Lions-adjacent and brewing their own. The beer + sports combination is earned.,"Brewery, Lions, Beer"
Madhouse Bar & Grill,Sports Bars,FALSE,,Wings-first sports bar with a kitchen that can actually back it up.,"Wings, Kitchen"
Michigan Central / Newlab,Coworking,TRUE,Top Pick,The most ambitious coworking-adjacent space in Detroit. Ford's innovation campus. The building alone is worth showing up for.,"Ambitious, Ford, Historic"
Techtown,Coworking,TRUE,Top Pick,Startup-focused hub that's been in the game. The network here matters.,"Startup, Network, Established"
The Congregation,Coworking,TRUE,Top Pick,Church-turned-coworking. The architecture is the bonus. The community is the actual value.,"Community, Converted, Architecture"
Chroma,Coworking,FALSE,,Design-forward coworking with the right aesthetic. Good if the room matters to your work.,"Design, Aesthetic, Creative"
Seasons Grocery,Coworking,FALSE,,Cafe-grocery hybrid that doubles as a great work spot. The format makes the workday better.,"Cafe, Grocery, Hybrid"
Bamboo,Coworking,FALSE,,Focused coworking without the noise. Gets the basics right.,"Focused, Clean"
Jefferson Hub,Coworking,FALSE,,East side anchor for the coworking scene. Community-first approach.,"East Side, Community"
Hunt Street,Coworking,FALSE,,Eastern Market adjacent coworking. The location makes the day better.,"Eastern Market, Location"
Workco Birmingham,Coworking,FALSE,,Suburban coworking for when you need to be out of the city. Birmingham's best option.,"Birmingham, Suburban, Premium"
Carhartt,Shopping,TRUE,Top Pick,The Detroit original. Carhartt's flagship is a pilgrimage for anyone who knows the brand's roots are right here.,"Flagship, Workwear, Detroit"
Periodical,Shopping,TRUE,Top Pick,Independent magazine and book shop done with genuine curation. One of the better third spaces in the city.,"Books, Magazines, Third Space"
Shinola,Shopping,TRUE,Top Pick,"Detroit's luxury export. Watches, leather goods, bikes — all made here. The flagship store is worth the visit on its own.","Luxury, Made in Detroit, Flagship"
Xhibition,Shopping,TRUE,Top Pick,Detroit's premier sneaker and streetwear boutique. The curation is tight and the staff knows what they're doing.,"Sneakers, Streetwear, Boutique"
Lip Bar,Shopping,TRUE,Top Pick,Detroit-founded beauty brand that made it national. The flagship is a statement. Support it.,"Beauty, Detroit-Founded, Flagship"
Coup D'état,Shopping,FALSE,,Elevated menswear with a point of view. The kind of shop that makes you reconsider your wardrobe.,"Menswear, Elevated, Curated"
Detroit Vs Everybody,Shopping,FALSE,,"The city's most recognizable brand. Wear it as a statement, buy it as a souvenir, mean it either way.","Detroit, Statement, Apparel"
Greyson,Shopping,FALSE,,"Performance-meets-lifestyle apparel. Clean aesthetics, functional design, worth knowing.","Performance, Apparel, Clean"
Folk,Shopping,FALSE,,"Home goods and lifestyle objects with a considered aesthetic. Good for gifts, better for yourself.","Home Goods, Lifestyle, Gifts"
Two18,Shopping,FALSE,,Detroit streetwear boutique with local flavor. Supporting this one matters.,"Streetwear, Local, Boutique"
Sana,Shopping,FALSE,,Wellness and beauty with an intentional selection. An underrepresented category in the Detroit shopping scene done right.,"Wellness, Beauty, Curated"
